Designator,Footprint,Quantity,Value,LCSC Part #
U1,XQFN-8_1.6x1.6mm_P0.4mm_NT3H2111,1,NT3H2111W0FHKH,C710403
C1,C_0402_1005Metric,1,10pF NP0,C301961
